source_file,element,target_file,customer_name,link_value,has_de,has_fr,status,reason,written_rows_total
Datensammlung_Agroline_Revision.xlsx,Slogan,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Aufgabe,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Profil,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Benefits,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Bewerbungsprozess,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Bewerbungsprozess 1,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Bewerbungsprozess 2,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Bewerbungsprozess 3,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Bewerbungsprozess 4,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Bewerbungsprozess 5,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Über uns,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Agroline_Revision.xlsx,Label Similar Jobs,,AGROLINE,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Primärfarbe (HEX-Code),,Anicom AG,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Sekundärfarbe (HEX-Code),,Anicom AG,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Firmenname,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Slogan,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Aufgabe,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Profil,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Benefits,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Bewerbungsprozess,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Bewerbungsprozess 1,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Bewerbungsprozess 2,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Bewerbungsprozess 3,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Bewerbungsprozess 4,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Bewerbungsprozess 5,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Über uns,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Label Similar Jobs,,Anicom AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anicom_Revision.xlsx,Link Social Media 1,,Anicom AG,www.anicom.ch,True,True,BLOCK_NO_TARGET_FILE,social_link_unmapped,0
Datensammlung_Anicom_Revision.xlsx,Berufsfeld,,Anicom AG,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Primärfarbe (HEX-Code),,Anliker Landtechnik,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Sekundärfarbe (HEX-Code),,Anliker Landtechnik,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Firmenname,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Slogan,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Aufgabe,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Profil,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Benefits,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Bewerbungsprozess,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Bewerbungsprozess 1,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Bewerbungsprozess 2,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Bewerbungsprozess 3,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Bewerbungsprozess 4,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Bewerbungsprozess 5,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Über uns,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Label Similar Jobs,,Anliker Landtechnik,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Anliker_Revision.xlsx,Link Social Media 2,,Anliker Landtechnik,www.anlikerag.ch,True,False,BLOCK_NO_TARGET_FILE,social_link_unmapped,0
Datensammlung_Anliker_Revision.xlsx,Berufsfeld,,Anliker Landtechnik,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Firmenname,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Aufgabe,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Profil,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Benefits,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Bewerbungsprozess,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Bewerbungsprozess 1,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Bewerbungsprozess 2,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Bewerbungsprozess 3,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Bewerbungsprozess 4,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Bewerbungsprozess 5,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Über uns,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Bonfrais_Bongel_Berger_Revision.xlsx,Label Similar Jobs,,Bonfrais Bongel & Berger frigemo sa,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Firmenname,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Aufgabe,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Profil,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Benefits,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Bewerbungsprozess,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Bewerbungsprozess 1,,CADAR AG,,False,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Bewerbungsprozess 2,,CADAR AG,,False,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Bewerbungsprozess 3,,CADAR AG,,False,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Bewerbungsprozess 4,,CADAR AG,,False,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Bewerbungsprozess 5,,CADAR AG,,False,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Über uns,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Label Similar Jobs,,CADAR AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Cadar_Revision.xlsx,Link Social Media 4,,CADAR AG,https://www.google.ch/search?q=cadar&sca_esv=5e78618b726d8b1c&source=hp&ei=xRvXZuGBBrjk7_UPpJ3PsAU&iflsig=AL9hbdgAAAAAZtcp1URpnTt7WbZafTsQByG5aRXYcUsa&ved=0ahUKEwih-PDb_KaIAxU48rsIHaTOE1YQ4dUDCBk&uact=5&oq=cadar&gs_lp=Egdnd3Mtd2l6GgIYAiIFY2FkYXIyBRAAGIAEMgUQABiABDIREC4YgAQYsQMYgwEYxwEYrwEyDhAAGIAEGLEDGIMBGMkDMgsQABiABBixAxiDATILEAAYgAQYsQMYgwEyBRAAGIAEMgUQABiABDIIEC4YgAQYsQMyBRAAGIAESP0DUABY_gJwAHgAkAEAmAGCAqABhQaqAQUwLjIuMrgBA8gBAPgBAZgCBKACmgbCAhQQLhiABBixAxiDARjHARiKBRivAcICERAuGIAEGLEDGNEDGIMBGMcBwgIOEC4YgAQYsQMYgwEYigXCAg4QABiABBixAxiDARiLA8ICDhAAGIAEGLEDGIMBGIoFwgIIEAAYgAQYsQPCAgQQABgDwgIFEC4YgASYAwCSBwUwLjIuMqAH8Sg&sclient=gws-wiz,False,True,BLOCK_NO_TARGET_FILE,social_link_unmapped,0
Datensammlung_Culturefood_Revision.xlsx,Firmenname,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Firmenlogo,,Culturefood & CFD,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Aufgabe,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Profil,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Benefits,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Bewerbungsprozess,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Bewerbungsprozess 1,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Bewerbungsprozess 2,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Bewerbungsprozess 3,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Bewerbungsprozess 4,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Bewerbungsprozess 5,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Über uns,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Culturefood_Revision.xlsx,Label Similar Jobs,,Culturefood & CFD,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Firmenname,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Aufgabe,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Profil,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Benefits,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Bewerbungsprozess,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Bewerbungsprozess 1,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Bewerbungsprozess 2,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Bewerbungsprozess 3,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Bewerbungsprozess 4,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Bewerbungsprozess 5,,fenaco Dienste Pflanzenbau,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Über uns,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Dienste Pflanzenbau_Revision.xlsx,Label Similar Jobs,,fenaco Dienste Pflanzenbau,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Firmenname,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Aufgabe,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Profil,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Benefits,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Bewerbungsprozess,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Bewerbungsprozess 1,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Bewerbungsprozess 2,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Bewerbungsprozess 3,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Bewerbungsprozess 4,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Bewerbungsprozess 5,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Über uns,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_EICO_Revision.xlsx,Label Similar Jobs,,EiCO frigemo AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Primärfarbe (HEX-Code),,Eichen Service Center,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Sekundärfarbe (HEX-Code),,Eichen Service Center,,True,False,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Firmenname,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Aufgabe,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Profil,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Benefits,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Bewerbungsprozess,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Bewerbungsprozess 1,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Bewerbungsprozess 2,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Bewerbungsprozess 3,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Bewerbungsprozess 4,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Bewerbungsprozess 5,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Über uns,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Label Similar Jobs,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eichen_Revision.xlsx,Link Social Media 1,,Eichen Service Center,https://eichen-service.ch/,True,True,BLOCK_NO_TARGET_FILE,social_link_unmapped,0
Datensammlung_Eichen_Revision.xlsx,Berufsfeld,,Eichen Service Center,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Firmenname,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Label Aufgabe,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Label Profil,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Label Benefits,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Label Bewerbungsprozess,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
Datensammlung_Eiermaa_Revision.xlsx,Bewerbungsprozess 1,,Eiermaa AG,,True,True,BLOCK_NO_TARGET_FILE,no_target_file_match,0
